country,total_cases,total_deaths,total_recovered,active_cases
USA,33400000,600000,28700000,4100000
India,29700000,377000,28400000,935000
Brazil,17400000,490000,15700000,1220000
France,5720000,110000,5490000,121000
Turkey,5350000,49000,5200000,100000
Russia,5240000,126000,4880000,237000
UK,4490000,128000,1550000,2810000
Italy,4250000,127000,4000000,125000
Argentina,4210000,87000,3800000,320000
Colombia,3720000,97000,3410000,217000
Spain,3700000,80000,3500000,120000
Germany,3720000,90000,3590000,40000
Iran,3020000,82000,2580000,360000
Poland,2880000,75000,2650000,155000
Mexico,2470000,230000,1950000,290000
Ukraine,2320000,55000,2230000,40000
Peru,1980000,186000,1900000,95000
Indonesia,1830000,51000,1670000,110000
Netherlands,1700000,18000,1600000,80000
Czech Republic,1660000,30000,1630000,30000
